
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    192.168.1.6:48692      lhr14s20-in-f15:https  ESTABLISHED     10596
  TCP    192.168.1.6:48698      mailservice02:imap     ESTABLISHED     11232
  TCP    192.168.1.6:48742      ea-in-f84:https        ESTABLISHED     10596
  TCP    192.168.1.6:48744      ea-in-f125:5222        ESTABLISHED     10596
  TCP    192.168.1.6:48747      49:https               ESTABLISHED     10596
  TCP    192.168.1.6:48758      fa-in-f99:https        ESTABLISHED     10596
  TCP    192.168.1.6:48759      do-1:https             ESTABLISHED     10596
  TCP    192.168.1.6:48832      lhr14s21-in-f25:http   ESTABLISHED     10596
  TCP    192.168.1.6:48834      104:https              ESTABLISHED     10596
  TCP    192.168.1.6:48835      2.17.47.139:http       ESTABLISHED     10596
  TCP    192.168.1.6:48837      lhr14s21-in-f25:http   ESTABLISHED     10596
  TCP    192.168.1.6:48845      lhr14s21-in-f25:http   ESTABLISHED     10596
  TCP    192.168.1.6:48851      lhr14s19-in-f11:https  ESTABLISHED     10596
  TCP    192.168.1.6:48886      ec2-54-235-101-225:https  ESTABLISHED     10596
  TCP    192.168.1.6:48928      fa-in-f94:https        ESTABLISHED     10596
  TCP    192.168.1.6:48935      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48936      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48937      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48938      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48939      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48943      free32264:http         ESTABLISHED     10596
  TCP    192.168.1.6:48945      84:https               ESTABLISHED     10596
  TCP    192.168.1.6:48946      119:https              ESTABLISHED     10596
  TCP    192.168.1.6:48950      snt-re4-8c:http        ESTABLISHED     10904
  TCP    192.168.1.6:48974      114:https              ESTABLISHED     10596
  TCP    192.168.1.6:48975      de-in-f102:https       ESTABLISHED     10596
  TCP    192.168.1.6:48982      84:https               ESTABLISHED     10596
  TCP    192.168.1.6:48992      192.0.80.240:https     ESTABLISHED     10596
  TCP    192.168.1.6:48996      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48997      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48998      68.232.35.121:https    ESTABLISHED     10596
  TCP    192.168.1.6:48999      68.232.35.121:https    ESTABLISHED     10596
